"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",38560,NA,43720,42000,56000,50920,63880,54920,21080,34440,52760,55600,63760,37560,47920,32200,52240,50040,50600,44200,34920,45280,46720,50160
"B",56360,33120,35440,55240,56720,48360,34200,55720,NA,60280,54880,26680,54480,59520,55800,47200,51200,55240,55280,54720,35400,52360,51160,55320
"C",58080,30080,52600,48480,49360,33520,47080,51920,53440,57000,18160,17280,58240,35080,13320,48160,48320,18840,28840,50760,57600,52560,38360,42880
"D",NA,38960,50640,55480,26600,45640,14600,13880,32640,40240,23800,15000,25160,37040,51360,49320,55960,46680,50320,47840,21760,31320,56760,41680
"E",36920,51400,51040,50640,50960,21440,15760,50120,42120,46280,46200,13440,52360,66160,51520,46200,30040,21840,51560,44440,17640,45280,52720,36280
"F",35520,52840,NA,16240,56840,43480,45000,45280,45080,43160,54520,49360,22160,29800,30880,50160,50400,33360,NA,NA,45560,43840,55960,46080
"G",30840,51320,NA,26880,29320,48920,43760,25120,16920,24920,14760,46200,54440,35960,37000,48000,25080,35520,54000,49240,43720,34840,45720,43840
"H",38080,19480,12040,50520,53760,44400,44080,45880,11960,15000,15400,36960,29960,28560,43760,48520,23760,14600,NA,50640,NA,36120,59480,45760
"I",44840,40960,44360,51600,54360,NA,15200,33120,46360,19200,45160,19160,23240,16600,51880,53840,34720,18840,56040,50640,31040,44920,NA,24480
"J",43040,53840,NA,51560,11760,12040,46600,41800,20360,23960,44760,11200,46840,37160,39280,18760,11480,51400,45640,14520,26840,47360,33840,21160
"K",59480,52680,20200,53480,55400,17640,39120,13240,12920,40200,15480,16800,15480,11960,43320,30640,52120,NA,47120,18720,42840,41560,54640,25840
"L",49600,57120,28240,52760,NA,52080,15800,48440,11760,42760,48720,51720,48440,NA,11920,13480,NA,48680,43800,15400,44720,51760,17480,27600
"M",35480,35320,29880,36320,51840,14160,46200,9880,42560,18760,15920,40000,40480,31280,11520,44360,29560,15840,45280,NA,47840,31000,54360,47120
"N",46360,51080,40920,49800,30800,47120,13000,44880,44960,43880,19400,39880,47920,43680,41880,49200,16120,36640,12960,18320,47720,NA,52480,51400
"O",54480,47960,21120,NA,61640,39400,11720,NA,42280,51480,16800,9200,22360,17080,54560,NA,20280,46480,48560,14800,11120,46920,42840,52320
"P",59640,NA,41200,48080,11600,1160,42120,52040,41080,37480,54560,17240,17720,10800,54640,45760,30800,18360,51880,44400,NA,45400,NA,47840
